Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2022-10-17,3.58,0.451833958372011,2022,2022-09-01,0.87,2640500000,528100000,528100003.58,3.0629910244391057e-9,0.0087,2840363.1318548312,0
2022-10-17,3.58,0.451833958372011,2022,2022-10-03,1.64,2640500000,528100000,528100003.58,3.0629910244391057e-9,0.016399999999999998,5354245.783995485,0
2022-10-17,3.58,0.451833958372011,2022,2022-11-01,1.62,2640500000,528100000,528100003.58,3.0629910244391057e-9,0.016200000000000003,5288950.130693132,0
2022-10-17,3.58,0.451833958372011,2022,2022-12-01,1.23,2640500000,528100000,528100003.58,3.0629910244391057e-9,0.0123,4015684.891297215,0
2022-10-24,3.66,0.4512023966115198,2022,2022-09-01,0.87,2640500000,528100000,528100003.66,3.1270607084891503e-9,0.0087,2782167.5821283087,0
2022-10-24,3.66,0.4512023966115198,2022,2022-10-03,1.64,2640500000,528100000,528100003.66,3.1270607084891503e-9,0.016399999999999998,5244543.82544732,0
2022-10-24,3.66,0.4512023966115198,2022,2022-11-01,1.62,2640500000,528100000,528100003.66,3.1270607084891503e-9,0.016200000000000003,5180586.000945529,0
2022-10-24,3.66,0.4512023966115198,2022,2022-12-01,1.23,2640500000,528100000,528100003.66,3.1270607084891503e-9,0.0123,3933408.423160574,0
2022-10-31,3.86,0.4536154567098624,2022,2022-09-01,0.87,2640500000,528100000,528100003.86,3.3155759327815674e-9,0.0087,2623980.7157493937,0
2022-10-31,3.86,0.4536154567098624,2022,2022-10-03,1.64,2640500000,528100000,528100003.86,3.3155759327815674e-9,0.016399999999999998,4946352.501558612,0
2022-10-31,3.86,0.4536154567098624,2022,2022-11-01,1.62,2640500000,528100000,528100003.86,3.3155759327815674e-9,0.016200000000000003,4886031.15647266,0
2022-10-31,3.86,0.4536154567098624,2022,2022-12-01,1.23,2640500000,528100000,528100003.86,3.3155759327815674e-9,0.0123,3709764.9272965617,0
